
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Isa Abdul-Quddus,DET,25,,16,4,0,0,0,0,2,,,,,,,22,12,
2,Husain Abdullah,KAN,29,FS,16,16,1,39,1,39,10,,,,,,,58,13,
3,Oday Aboushi,NYJ,23,LG,15,10,,,,,,,,,,,,1,0,
4,Emmanuel Acho,PHI,24,,14,2,,,,,,,,,,,,21,10,
5,Sam Acho,ARI,26,,16,4,1,3,0,3,3,1,0,0,0,0,1.0,25,13,
6,Davante Adams,GNB,22,WR,16,11,,,,,,,,,,,,1,0,
7,Mike Adams,PIT,24,,16,4,,,,,,,,,,,,1,0,
8,Mike Adams*,IND,33,SS,16,16,5,24,0,10,12,2,0,2,0,0,,77,29,
9,Phillip Adams,NYJ,26,,12,4,1,0,0,0,3,0,0,1,-1,0,,21,3,
10,Jahleel Addae,SDG,24,nt,11,5,,,,,,2,0,1,0,0,1.0,35,13,
11,Mario Addison,CAR,27,,16,0,,,,,,1,0,2,0,0,6.5,11,15,
12,Kamar Aiken,BAL,25,,16,0,,,,,,,,,,,,4,3,
13,Walt Aikens,MIA,23,,15,0,1,43,0,43,1,,,,,,,14,2,
14,Seyi Ajirotutu,SDG,27,,16,1,,,,,,,,,,,,14,4,
15,Branden Albert,MIA,30,LT,9,9,,,,,,,,,,,,1,0,
16,Frank Alexander,CAR,25,,1,0,,,,,,,,,,,,1,0,
17,Lorenzo Alexander,ARI,31,,16,0,,,,,,,,,,,1.0,11,2,
18,Maurice Alexander,STL,23,,9,0,,,,,,,,,,,,4,0,
19,Robert Alford,ATL,26,LCB,10,10,3,21,0,21,11,,,,,,,24,7,
20,Antonio Allen,NYJ,26,LCB,15,8,0,0,0,0,6,1,0,0,0,0,0.5,36,5,
21,Beau Allen,PHI,23,,16,0,,,,,,,,,,,0.5,7,3,
