
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
1,DeMarco Murray*+,DAL,26,16,16,0,0,0,0,0,392,1845,4.71,13,64,57,416,7.30,0,RB,292,173,1,1
2,Le'Veon Bell*+,PIT,22,16,16,0,0,0,0,0,290,1361,4.69,8,105,83,854,10.29,3,RB,288,168,2,2
3,Marshawn Lynch*,SEA,28,16,14,0,0,0,0,0,280,1306,4.66,13,48,37,367,9.92,4,RB,265,146,3,3
4,Antonio Brown*+,PIT,26,16,16,2,2,20,1,0,4,13,3.25,0,181,129,1698,13.16,13,WR,252,130,1,4
5,Matt Forte,CHI,29,16,16,0,0,0,0,0,266,1038,3.90,6,130,102,808,7.92,4,RB,245,125,4,5
6,Arian Foster*,HOU,28,13,13,1,1,5,1,0,260,1246,4.79,8,59,38,327,8.61,5,RB,236,116,5,6
7,Eddie Lacy,GNB,24,16,16,0,0,0,0,0,246,1139,4.63,9,55,42,427,10.17,4,RB,231,111,6,7
8,Jordy Nelson*,GNB,29,16,16,0,0,0,0,0,0,0,,0,151,98,1519,15.50,13,WR,230,108,3,8
9,Demaryius Thomas*,DEN,27,16,16,0,0,0,0,0,0,0,,0,184,111,1619,14.59,11,WR,230,108,2,9
10,Dez Bryant*+,DAL,26,16,16,0,0,0,0,0,0,0,,0,136,88,1320,15.00,16,WR,228,106,4,10
11,Rob Gronkowski*+,NWE,25,15,10,0,0,0,0,0,0,0,,0,131,82,1124,13.71,12,TE,184,94,1,11
12,Jamaal Charles*,KAN,28,15,15,0,0,0,0,0,206,1033,5.01,9,59,40,291,7.28,5,RB,210,91,7,12
13,Aaron Rodgers*+,GNB,31,16,16,341,520,4381,38,5,43,269,6.26,2,0,0,0,,0,QB,356,91,1,13
14,Andrew Luck*,IND,25,16,16,380,616,4761,40,16,64,273,4.27,3,0,0,0,,0,QB,356,90,2,14
15,Justin Forsett*,BAL,29,16,14,0,0,0,0,0,235,1266,5.39,8,59,44,263,5.98,0,RB,203,84,8,15
16,Odell Beckham*,NYG,22,12,11,0,1,0,0,0,7,35,5.00,0,130,91,1305,14.34,12,WR,204,82,5,16
17,Randall Cobb*,GNB,24,16,16,0,0,0,0,0,11,37,3.36,0,127,91,1287,14.14,12,WR,202,81,6,17
