
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Marquette King,OAK,26,,16,0,,,,,,,,,,,,,,,,,109,4930,62,0,45.2
2,Bryan Anger,JAX,26,,16,0,,,,,,,,,,,,,,,,,94,4464,69,2,47.5
3,Spencer Lanning,CLE,26,,16,0,,,,,,,,,,,,,,,,,93,4119,59,0,44.3
4,Cody Parkey*,PHI,24,,16,0,,,10,10,16,14,6,4,4,4,36,32,88.9%,54,54,100.0%,,,,,
5,Mason Crosby,GNB,30,,16,0,,,7,7,12,11,7,5,7,4,33,27,81.8%,55,53,96.4%,,,,,
6,Stephen Gostkowski*,NWE,30,,16,0,1,1,11,11,11,10,13,12,1,1,37,35,94.6%,51,51,100.0%,,,,,
7,Brett Kern,TEN,28,,16,0,,,,,,,,,,,,,,,,,88,4118,79,1,46.8
8,Colton Schmidt,BUF,24,,16,0,,,,,,,,,,,,,,,,,86,3692,67,0,42.9
9,Dan Bailey,DAL,26,,16,0,,,6,6,7,6,9,8,7,5,29,25,86.2%,56,56,100.0%,,,,,
10,Shane Lechler,HOU,38,,16,0,,,,,,,,,,,,,,,,,83,3845,71,1,46.3
11,Adam Vinatieri*+,IND,42,,16,0,,,10,10,10,10,8,7,3,3,31,30,96.8%,50,50,100.0%,,,,,
12,Johnny Hekker,STL,24,,16,0,,,,,,,,,,,,,,,,,80,3721,61,1,46.5
13,Steve Weatherford,NYG,32,,16,0,,,,,,,,,,,,,,,,,80,3640,71,1,45.5
14,Drew Butler,ARI,25,,15,0,,,,,,,,,,,,,,,,,79,3328,67,2,42.1
15,Steven Hauschka,SEA,29,,16,0,,,10,10,10,10,13,9,4,2,37,31,83.8%,41,41,100.0%,,,,,
16,Michael Koenen,TAM,32,,16,0,,,,,,,,,,,,,,,,,78,3154,56,1,40.4
17,Ryan Quigley,NYJ,24,,16,0,,,,,,,,,,,,,,,,,78,3580,69,1,45.9
18,Caleb Sturgis,MIA,25,,16,0,1,1,12,12,8,7,10,6,6,3,37,29,78.4%,41,41,100.0%,,,,,
19,Shaun Suisham,PIT,33,,16,0,,,13,12,6,6,10,10,3,1,32,29,90.6%,45,45,100.0%,,,,,
20,Tress Way,WAS,24,,16,0,,,,,,,,,,,,,,,,,77,3659,77,0,47.5
21,Donnie Jones,PHI,34,,16,0,,,,,,,,,,,,,,,,,76,3331,68,0,43.8
22,Justin Tucker,BAL,25,,16,0,,,10,10,11,11,4,4,9,4,34,29,85.3%,42,42,100.0%,,,,,
23,Randy Bullock,HOU,25,,16,0,,,7,6,15,13,8,7,5,4,35,30,85.7%,40,40,100.0%,,,,,
24,Jeff Locke,MIN,25,,16,0,,,,,,,,,,,,,,,,,75,3318,62,1,44.2
25,Kevin Huber*,CIN,29,,16,0,,,,,,,,,,,,,,,,,73,3419,69,0,46.8
26,Matt Bryant,ATL,39,,16,0,,,10,10,4,4,8,8,10,7,32,29,90.6%,40,40,100.0%,,,,,
27,Andy Lee,SFO,32,,16,0,,,,,,,,,,,,,,,,,72,3369,71,1,46.8
28,Brad Nortman,CAR,25,,16,0,,,,,,,,,,,,,,,,,72,3236,72,2,44.9
29,Nick Novak,SDG,33,,16,0,1,1,6,6,9,8,6,4,4,3,26,22,84.6%,40,40,100.0%,6,240,51,0,40.0
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
30,Mike Nugent,CIN,32,,16,0,,,6,6,12,10,12,10,3,,33,26,78.8%,39,39,100.0%,,,,,
31,Dustin Colquitt,KAN,32,,16,0,,,,,,,,,,,,,,,,,71,3164,69,0,44.6
32,Pat O'Donnell,CHI,23,,16,0,,,,,,,,,,,,,,,,,71,3107,61,1,43.8
33,Josh Brown,NYG,35,,16,0,1,1,7,6,9,9,5,4,4,4,26,24,92.3%,44,44,100.0%,,,,,
34,Dan Carpenter,BUF,29,,16,0,,,9,9,13,12,8,7,8,6,38,34,89.5%,32,31,96.9%,,,,,
35,Britton Colquitt,DEN,29,,16,0,,,,,,,,,,,,,,,,,69,3048,65,0,44.2
36,Graham Gano,CAR,27,,16,0,,,7,7,13,12,12,9,3,1,35,29,82.9%,34,34,100.0%,,,,,
37,Shayne Graham,NOR,37,,16,0,,,6,6,9,9,5,3,2,1,22,19,86.4%,47,46,97.9%,,,,,
38,Pat McAfee*+,IND,27,,16,0,,,,,,,,,,,,,,,,,69,3221,61,0,46.7
39,Sam Martin,DET,24,,16,0,,,,,,,,,,,,,,,,,68,3138,71,0,46.1
40,Cairo Santos,KAN,23,,16,0,1,1,10,10,7,6,10,7,2,1,30,25,83.3%,38,38,100.0%,,,,,
41,Matthew Bosher,ATL,27,,16,0,,,,,,,,,,,,,,,,,67,3063,66,0,45.7
42,Ryan Allen,NWE,24,,16,0,,,,,,,,,,,,,,,,,66,3060,67,1,46.4
43,Greg Zuerlein,STL,27,,16,0,1,1,7,6,12,10,3,2,7,5,30,24,80.0%,35,34,97.1%,,,,,
44,Phil Dawson,SFO,39,,16,0,,,6,6,9,8,7,5,9,6,31,25,80.6%,33,33,100.0%,,,,,
