
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Antonio Brown*+,PIT,26,WR,16,16,181,129,1698,13.2,13,63,8.1,106.1,2
2,Demaryius Thomas*,DEN,27,WR,16,16,184,111,1619,14.6,11,86,6.9,101.2,0
3,Julio Jones*,ATL,25,WR,15,15,163,104,1593,15.3,6,79,6.9,106.2,2
4,Matt Forte,CHI,29,RB,16,16,130,102,808,7.9,4,56,6.4,50.5,2
5,Emmanuel Sanders*,DEN,27,WR,16,16,141,101,1404,13.9,9,48,6.3,87.8,1
6,Golden Tate*,DET,26,WR,16,16,144,99,1331,13.4,4,73,6.2,83.2,1
7,Jordy Nelson*,GNB,29,WR,16,16,151,98,1519,15.5,13,80,6.1,94.9,0
8,Julian Edelman,NWE,28,WR,14,13,134,92,972,10.6,4,69,6.6,69.4,5
9,Odell Beckham*,NYG,22,WR,12,11,130,91,1305,14.3,12,80,7.6,108.8,1
10,Randall Cobb*,GNB,24,WR,16,16,127,91,1287,14.1,12,70,5.7,80.4,4
11,Martellus Bennett*,CHI,27,TE,16,15,128,90,916,10.2,6,37,5.6,57.3,0
12,Dez Bryant*+,DAL,26,WR,16,16,136,88,1320,15.0,16,68,5.5,82.5,1
13,Jimmy Graham*,NOR,28,TE,16,13,125,85,889,10.5,10,29,5.3,55.6,2
14,Alshon Jeffery,CHI,24,WR,16,16,145,85,1133,13.3,10,74,5.3,70.8,1
15,Andre Johnson,HOU,33,WR,15,15,146,85,936,11.0,3,35,5.7,62.4,3
16,Jeremy Maclin,PHI,26,WR,16,16,143,85,1318,15.5,10,72,5.3,82.4,0
17,Jarvis Landry,MIA,22,WR,16,11,112,84,758,9.0,5,25,5.3,47.4,7
18,Greg Olsen*,CAR,29,TE,16,16,123,84,1008,12.0,6,38,5.3,63.0,1
19,Le'Veon Bell*+,PIT,22,RB,16,16,105,83,854,10.3,3,48,5.2,53.4,0
20,Anquan Boldin,SFO,34,WR,16,16,130,83,1062,12.8,5,76,5.2,66.4,0
21,Rob Gronkowski*+,NWE,25,TE,15,10,131,82,1124,13.7,12,46,5.5,74.9,0
22,T.Y. Hilton*,IND,25,WR,15,15,131,82,1345,16.4,7,73,5.5,89.7,3
23,Roddy White,ATL,33,WR,14,14,125,80,921,11.5,7,39,5.7,65.8,3
24,Steve Smith,BAL,35,WR,16,16,134,79,1065,13.5,6,80,4.9,66.6,1
25,Keenan Allen,SDG,22,WR,14,14,121,77,783,10.2,4,35,5.5,55.9,2
26,DeAndre Hopkins,HOU,22,WR,16,16,127,76,1210,15.9,6,76,4.8,75.6,2
27,Eric Decker,NYJ,27,WR,15,15,115,74,962,13.0,5,74,4.9,64.1,0
28,Brandon LaFell,NWE,28,WR,16,13,119,74,953,12.9,7,56,4.6,59.6,1
29,Kelvin Benjamin,CAR,23,WR,16,15,145,73,1008,13.8,9,51,4.6,63.0,1
